candidate_id,dimension,dimension_value,category,tp,fp,fn,precision,recall,f1,f2,exact_span,notes
bicameral-stdlib-v1,total,all,,56,0,53,1.0,0.5137614678899083,0.6787878787878788,0.5691056910569106,55,
bicameral-stdlib-v1,category,credential,credential,4,0,0,1.0,1.0,1.0,1.0,4,
bicameral-stdlib-v1,category,phi,phi,4,0,0,1.0,1.0,1.0,1.0,4,
bicameral-stdlib-v1,category,pii,pii,33,0,53,1.0,0.38372093023255816,0.5546218487394958,0.43766578249336874,33,
bicameral-stdlib-v1,category,secret,secret,15,0,0,1.0,1.0,1.0,1.0,14,
bicameral-stdlib-v1,subtype,account_id,,0,0,4,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
bicameral-stdlib-v1,subtype,address,,0,0,7,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
bicameral-stdlib-v1,subtype,aws-access-key,,2,0,0,1.0,1.0,1.0,1.0,2,
bicameral-stdlib-v1,subtype,azure-storage-key,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,subtype,dob,,0,0,2,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
bicameral-stdlib-v1,subtype,email,,19,0,0,1.0,1.0,1.0,1.0,19,
bicameral-stdlib-v1,subtype,financial_id,,0,0,1,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
bicameral-stdlib-v1,subtype,github-fine-grained-pat,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,subtype,github-pat,,2,0,0,1.0,1.0,1.0,1.0,2,
bicameral-stdlib-v1,subtype,gitlab-pat,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,subtype,google-api-key,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,subtype,government_id,,0,0,2,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
bicameral-stdlib-v1,subtype,ip,,0,0,7,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
bicameral-stdlib-v1,subtype,jwt,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,subtype,mrn,,2,0,0,1.0,1.0,1.0,1.0,2,
bicameral-stdlib-v1,subtype,npm-token,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,subtype,openai-key,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,subtype,pan,,4,0,0,1.0,1.0,1.0,1.0,4,
bicameral-stdlib-v1,subtype,patient_id,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,subtype,pem-private-key,,1,0,0,1.0,1.0,1.0,1.0,0,
bicameral-stdlib-v1,subtype,person,,0,0,30,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
bicameral-stdlib-v1,subtype,phone,,14,0,0,1.0,1.0,1.0,1.0,14,
bicameral-stdlib-v1,subtype,slack-token,,2,0,0,1.0,1.0,1.0,1.0,2,
bicameral-stdlib-v1,subtype,ssn_label,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,subtype,stripe-live-key,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,source_shape,adapter_emission,,3,0,1,1.0,0.75,0.8571428571428571,0.7894736842105263,3,
bicameral-stdlib-v1,source_shape,bounded_document_fetch,,1,0,2,1.0,0.3333333333333333,0.5,0.3846153846153846,1,
bicameral-stdlib-v1,source_shape,external_ingest_envelope,,1,0,3,1.0,0.25,0.4,0.29411764705882354,1,
bicameral-stdlib-v1,source_shape,failure_fixture,,1,0,0,1.0,1.0,1.0,1.0,1,
bicameral-stdlib-v1,source_shape,github_poll,,2,0,1,1.0,0.6666666666666666,0.8,0.7142857142857142,2,
bicameral-stdlib-v1,source_shape,github_webhook,,5,0,4,1.0,0.5555555555555556,0.7142857142857143,0.6097560975609756,5,
bicameral-stdlib-v1,source_shape,linear_graphql,,2,0,1,1.0,0.6666666666666666,0.8,0.7142857142857142,2,
bicameral-stdlib-v1,source_shape,linear_webhook,,2,0,2,1.0,0.5,0.6666666666666666,0.5555555555555556,2,
bicameral-stdlib-v1,source_shape,local_directory,,2,0,2,1.0,0.5,0.6666666666666666,0.5555555555555556,2,
bicameral-stdlib-v1,source_shape,observation,,10,0,10,1.0,0.5,0.6666666666666666,0.5555555555555556,10,
bicameral-stdlib-v1,source_shape,plain_text,,27,0,27,1.0,0.5,0.6666666666666666,0.5555555555555556,26,
bicameral-stdlib-v1,class,decision_preservation,,6,0,4,1.0,0.6,0.7499999999999999,0.6521739130434783,6,
bicameral-stdlib-v1,class,mixed_entities,,3,0,6,1.0,0.3333333333333333,0.5,0.3846153846153846,3,
bicameral-stdlib-v1,class,nested_metadata,,21,0,18,1.0,0.5384615384615384,0.7000000000000001,0.5932203389830508,21,
bicameral-stdlib-v1,class,overlapping_entities,,2,0,1,1.0,0.6666666666666666,0.8,0.7142857142857142,2,
bicameral-stdlib-v1,class,positive_detection,,56,0,53,1.0,0.5137614678899083,0.6787878787878788,0.5691056910569106,55,
bicameral-stdlib-v1,class,structural_identity,,20,0,20,1.0,0.5,0.6666666666666666,0.5555555555555556,20,
datafog-regex-v1,total,all,,42,6,67,0.875,0.3853211009174312,0.5350318471337581,0.4338842975206612,42,
datafog-regex-v1,category,credential,credential,4,1,0,0.8,1.0,0.888888888888889,0.9523809523809523,4,
datafog-regex-v1,category,phi,phi,0,0,4,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
datafog-regex-v1,category,pii,pii,38,5,48,0.8837209302325582,0.4418604651162791,0.5891472868217054,0.49095607235142114,38,
datafog-regex-v1,category,secret,secret,0,0,15,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
datafog-regex-v1,subtype,account_id,,0,0,4,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
datafog-regex-v1,subtype,address,,0,0,7,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
datafog-regex-v1,subtype,aws-access-key,,0,0,2,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
datafog-regex-v1,subtype,azure-storage-key,,0,0,1,,0.0,,,0,precision=no_positive_predictions;f1=undefined_precision_or_recall;f2=undefined_precision_or_recall;exact_span_accuracy=no_true_positives
datafog-regex-v1,subtype,dob,,1,5,1,0.16666666666666666,0.5,0.25,0.35714285714285715,1,
